232106,Gary Clark Jr.,Shake (feat. Leon Bridges with Jeff Dazey) - Live
232107,Rendezvous At Two,Loving You
232108,Allie X,Little Things
232109,Sade,Punch Drunk
232110,The Palms,Beach Daze
232111,MIKExANGEL,Wreckless
232112,Mura Masa,Who Is It Gonna B (feat. A. K. Paul)
232113,Dwele,I'm Cheatin'
232114,Eric Benét,I Wanna Be Loved
232115,The Delfonics,Stop and Look (And You Have Found Love)
232116,My Friend Alan,Falling
232117,The Temptations,Beauty Is Only Skin Deep - Single Version / Mono
232118,D'Angelo,"Shit, Damn, Motherfucker"
232119,Donell Jones,All Her Love
232120,Alicia Keys,Love Is Blind
232121,Wishes,I Want To Be Alone With You
232122,The Whispers,I'm Gonna Make You My Wife
232123,ELHAE,Only You
232124,THEY.,Truth Be Told
232125,War,Ballero
232126,Keith Sweat,"Funky Dope Lovin' (feat. Gerald Levert, Aaron Hall and Buddy Banks)"
232127,Surfaces,Loving (Acoustic)
232128,The Spinners,How Could I Let You Get Away
232129,Milt Jackson,Bags' Groove
232130,Leona Lewis,Yesterday
232131,Mark Morrison,Return Of The Mack - Seeb Remix
232132,Kevin Morby,Baltimore (County Line)
232133,Sarah Vaughan,He's My Guy
232134,Charles Bradley,Slow Love
232135,MDWS,Circles
232136,Johnny Griffin,Nice And Easy - Rudy Van Gelder Edition/Remastered 2006
232137,Bondax,All I See - Darius Remix
232138,NoMBe,Jump Right In
232139,Heather Headley,He Is
232140,Jamie Foxx,Heaven
232141,The Temptations,"When I Lay My Burdens Down - Live From ""The Temptations Show""/1968"
232142,Eric Benét,Love Of My Own
232143,Henry Green,Aiir (acoustic)
232144,Harold Melvin & The Blue Notes,To Be True
232145,Gabrielle,Under My Skin
232146,Abhi The Nomad,Sunday
232147,Brandy,Angel in Disquise
232148,Babyface,Grown & Sexy
232149,Nao,We Don't Give A
232150,Darci,Some Say
232151,The Dip,Sea Snake
232152,Keyshia Cole,(I Just Want It) To Be Over
232153,Morgan Saint,Thru Your Phone
232154,D'Angelo,Alright
232155,Average White Band,I'm The One
232156,MANILA GREY,Disco Eyes
232157,Rufus Thomas,Walking the Dog
232158,Quentin Miller,"""Proper Freestyle""."
232159,Chaka Khan,Isn't That Enough
232160,Teyana Taylor,Outta My League
232161,Marvin Sease,I Gotta Clean Up
232162,Brothertiger,This Must Be the Place (Naive Melody)
232163,D'Angelo,Jonz In My Bonz
232164,Tep No,A Different You Original Mix - Original Mix
232165,Anthony Hamilton,Never Let Go
232166,Sarah Vaughan,Make Yourself Comfortable
232167,Shuggie Otis,Purple
232168,Elton,Wake Up
232169,Otis Redding,You Send Me
232170,Jazmine Sullivan,Brand New
232171,The Dramatics,Fell For You
232172,Cymande,Getting It Back
232173,Babeheaven,Your Love
232174,Soul II Soul,Keep On Movin'
232175,Jadu Heart,Purity
232176,Tep No,Eighteen
232177,BANKS,This Is Not About Us
232178,Fats Domino,Blue Monday
232179,Billy Preston,Outa-Space
232180,Chaka Khan,Keep Your Head Up
232181,Maze,Southern Girl - Edit/Remastered
232182,SG Lewis,Meant To Be
232183,Duffy,I'm Scared
232184,Amy Winehouse,Rehab - Pharoahe Monch Remix
232185,Latimore,I Can't Stop Loving You
232186,Gene Ammons,Here's That Rainy Day
232187,Fats Domino,I'm Walkin' - Remastered
232188,IHF,Breeze
232189,Dr. John,Mama Roux
232190,Verzache,Dunes and the Search
232191,Curtis Mayfield,Eddie You Should Know Better
232192,Toni Braxton,Sex & Cigarettes
232193,Fantasia,Even Angels
232194,David Ruffin,Slow Dance
232195,Brenda And The Tabulations,When You're Gone
232196,Al Green,L-O-V-E (Love)
232197,DeBarge,Stay With Me
232198,Handsome Ghost,Maps
232199,Surfaces,Play Pretend (feat. Felly & Healy)
232200,Carl Marshall,Good Loving Will Make You Cry (Remastered)
232201,Ravyn Lenae,Recess
232202,Always Never,Ruok
232203,MIKNNA,NESS
232204,Silk,Girl U for Me
232205,Chuck Berry,Nadine - Single Version
232206,Isaac Hayes,Ike's Mood I - Edit
232207,Affelaye,Whir
232208,Brian McKnight,When I'm Gone
232209,Broods,Heartlines - Cheat Codes Remix
232210,KOLIDESCOPES,Back To You
232211,Solange,Ode to Marvin
232212,Jerry Folk,Life Under Water
232213,Tony! Toni! Toné!,If I Had No Loot
232214,Billie Holiday,The Way You Look Tonight (with Teddy Wilson & His Orchestra) - Take 2
232215,Marsha Ambrosius,Have You Ever
232216,Tweet,Turn da Lights Off (feat. Missy Elliott)
232217,John Legend,Show Me
232218,The Emotions,Blind Alley
232219,Aquilo,I Lost A Bet
232220,Darci,At Least
232221,Macy Gray,Still
232222,LEISURE,Falling
232223,Jill Scott,Not Like Crazy
232224,Louis La Roche,Ghost
232225,Michael Kiwanuka,Father's Child
232226,Charles Hamilton,Brooklyn Girls
232227,Yo Trane,Let Me Know
232228,Meshell Ndegeocello,Beautiful
232229,Meshell Ndegeocello,Please Don't Let Me Be Misunderstood
232230,Col3trane,Language (feat. Ebenezer)
232231,Lisa Stansfield,Change - Edit
232232,Stevie Wonder,Someday At Christmas
232233,O.V. Wright,Everybody Knows (The River Song)
232234,DROELOE,See Through Me
232235,The Palms,Warning Sign
232236,Bill Withers,Do It Good
232237,Allan Rayman,Shelby Moves
232238,Allan Rayman,Much Too Much
232239,Marvin Gaye,Rockin' After Midnight
232240,Sade,Soldier of Love - Remastered
232241,duendita,Magdalena
232242,Louis Futon,The Beginning
232243,Johnny Yukon,Voices
232244,The Isley Brothers,Don't Say Goodnight (It's Time for Love) - Part I & 2
232245,D'Angelo,Back to the Future (Part I)
232246,Majid Jordan,Shake Shake Shake
232247,The Drifters,White Christmas
232248,Sunny & The Sunliners,Should I Take You Home (Keyloc Version)
232249,Ted Hawkins,Peace & Happiness
232250,Morgan Saint,YOU - Stripped
232251,Buddy Guy,Flesh & Bone (Dedicated to B.B. King)
232252,dvsn,Another One
232253,John Legend,I Can Change (feat. Snoop Dogg)
232254,Jordan Hollywood,X-Files
232255,Jr. Walker & The All Stars,Ain't That The Truth
232256,Janelle Monáe,Neon Gumbo
232257,Rag'n'Bone Man,Try Again - Jim Eno Sessions
232258,Curtis Mayfield,P.S. I Love You
232259,Jamie Foxx,Storm (Forecass)
232260,Total,Sitting Home
232261,Slum Village,Tainted
232262,Electric Guest,Under The Gun
232263,Lyfe Jennings,Cry
232264,Hayden James,Better Together - Happiness Is Wealth Disco Remix
232265,Sarah Vaughan,Misty
232266,Barbara Mason,I'm No Good For You
232267,Janet Jackson,Because Of Love
232268,Dre'es,Pardon (Bu²ju²)
